id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
85,pig-mesh_oss-spring-boot-starter,3,2,42,27,11,7,14,10,16,9,1,1,maven,False,open source,245,f239e31f0d2c0c2afc666281a0fd2717f8dd40c3,improvement,17,0,0,0,0,0
86,twitter_nodes,3,1,16,12,2,1,10,7,3,3,1,1,maven,False,open source,150,c7d5d391fcb2130f1f5e0cd13efb04eadfb0f60a,improvement,8,0,0,0,0,0
88,msigwart_fakeload,1,0,7,0,2,0,3,0,2,0,0,0,maven,False,open source,108,fc6f4cc264b7e5af1bb6ea5e75a59bda2e04da67,improvement,8,0,0,0,0,0
89,arachan_JasperReportsBoot,3,2,19,7,4,1,6,1,9,5,0,0,maven,False,open source,233,91751e7f5fa4c0e31087fbbc9989aedf3ed5f137,improvement,17,1,0,0,0,0
72,passerbyYSQ_forum,18,18,555,555,36,36,191,191,259,259,69,69,maven,False,open source,4187,aad0993da7ca5da29366dbef67d64b7080c375cf,no improvement,8,0,0,0,0,0
90,vaadin_bookstore-example,2,2,9,9,1,1,6,6,2,2,0,0,maven,False,open source,462,c554e8af49b5405742509025f0ea01bde5bb019a,no improvement,17,0,0,0,0,0
87,BlackmodeN_iCloudDisk,7,7,271,40,19,6,90,12,129,19,33,3,maven,False,open source,1050,bbce8a85a9bee3b725693441b340598c5e7212b8,improvement,8,0,0,0,0,0
75,springer63_spring-boot-plus,22,22,820,820,22,22,175,175,401,401,222,222,maven,False,open source,3699,0b1164643959baf320cfa3dd514574bdbcf14433,no improvement,8,0,0,0,0,0
92,phip1611_docx4j-search-and-replace-util,1,0,1,0,0,0,1,0,0,0,0,0,maven,False,open source,207,190d3739bff06050ecddb3b7acf13999a813b533,improvement,11,0,0,0,0,0
94,FHIR_Ucum-java,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,78,5d16db44b867d9c01e87ac8148de90e0f944c5c2,no improvement,8,0,0,0,0,0
95,Skatteetaten_trekktabell,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,66,aeaaf084d6a46b221f5bc10455af872e621fc676,no improvement,17,0,0,0,0,0
96,mintDS_mintds,6,2,44,19,6,2,20,8,13,7,5,2,maven,False,open source,178,128e7cbb20a2dbc63799f080dfa7e2f2a81a2a8f,improvement,8,0,0,0,0,0
97,maping_java-maven-calculator-web-app,4,0,61,0,0,0,6,0,31,0,24,0,maven,False,open source,180,a5f059cbdb1010cb8d1279b5bb951145d3470290,improvement,8,0,0,0,0,0
93,wdrammeh_utg-student-dashboard,2,2,48,14,5,2,30,9,10,2,3,1,maven,False,open source,599,4dc1e7c8bad4338943edc9a3eed04fed9f734b37,improvement,11,0,0,0,0,0
100,PhantomThief_retrieve-id-utils,5,2,35,6,5,1,15,3,11,1,4,1,maven,False,open source,541,ebaf8f6ac02e3f66c0012af29abe5a518c144fdb,improvement,8,0,0,0,0,0
101,alexheretic_dynamics,1,0,1,0,0,0,0,0,1,0,0,0,maven,False,open source,87,b00b6eb3b5276d488c06318073a64c95b18aaa50,improvement,-,0,0,0,0,0
91,ponfee_commons-core,31,26,290,273,12,12,137,126,111,105,30,30,maven,False,open source,1800,dfd2f363adc9484558e33eef81bf869169a7fc12,improvement,8,0,0,0,0,0
102,rayokota_hdocdb,6,4,180,43,14,6,63,22,75,15,28,0,maven,False,open source,406,f6334df5b0403f34414924b8e82dcae6b2951768,improvement,17,0,0,0,0,0
104,YeautyYE_train-ticket-reaper,3,1,185,1,10,0,57,0,90,1,28,0,maven,False,open source,124,c09c7be0cdd77d3f12dd9e85a31cfbcad25c9736,improvement,8,0,0,0,0,0
105,wxynihao_book118-downloader,2,1,3,1,0,0,0,0,0,0,3,1,maven,False,open source,79,ac99d86c4c956e31bd11a4620bafdbbc64d34de9,improvement,8,0,0,0,0,0
106,openinx_minibase,2,1,7,6,0,0,1,0,3,3,3,3,maven,False,open source,68,6874582e066ef37c6547c523fb802ef228d00ea8,improvement,-,0,0,0,0,0
107,DuPAL-PAL-DUmper_DuPAL_Analyzer,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,95,217e2758e75e95a6fe06b7e1b1dbf941e0964cd8,no improvement,-,0,0,0,0,0
103,Hansanshi_mark-idea,6,4,139,54,12,14,67,23,53,16,7,1,maven,False,open source,636,edb39ac37c10617bb468cfb467de5b28f03a2957,improvement,8,0,0,0,0,0
98,yishuifengxiao_wind-bell,13,11,95,82,9,7,45,35,37,37,4,3,maven,False,open source,1742,ef619e9fcdbba5d4c08eb1bfcc5098dbec9b7ab3,improvement,8,0,0,0,0,0
108,artemnefedov_JavaAI,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,72,efda7067ab699f739feafea89895157322557c45,no improvement,-,0,0,0,0,0
110,hhy50_reflect-linker,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,96,d3229df531c7febca4cb75181602295850e467b1,no improvement,8,0,0,0,0,0
109,JsonSchema-JavaUI_sf-java-ui,4,0,63,0,1,0,8,0,31,0,23,0,maven,False,open source,153,ba1b39f2be36d0ce6c959d2ea59e6ba78d233264,improvement,8,0,3,1,0,0
111,axel3rd_mpg-coach-bot,5,2,9,6,1,1,7,4,1,1,0,0,maven,False,open source,126,91edd92025745296d46c2f6b03b5718f25f6f5dd,improvement,11,0,3,0,0,0
115,platypusguy_FileDedupe,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,60,a4199de5d713272938e2ad21606e7aeef7dab53f,no improvement,8,0,0,0,0,0
114,fengwenyi_api-result,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,91,560cc81770ef4217acc7483d9f1cddc3878c3192,no improvement,17,0,0,0,0,0
116,cqfn_rio,2,1,17,16,1,1,10,10,6,5,0,0,maven,False,open source,112,554668c1764e2d71fd6fa5cd2d70b063fd1005e0,improvement,8,0,1,0,0,0
118,s1ck_gdl,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,94,0728c05284753c81a8c9bc6e03e57012779c5ef2,no improvement,11,0,0,0,0,0
122,jano7_executor,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,115,afa9dd02560c69e26f4addcd5b68500c5e95241b,no improvement,8,0,0,0,0,0
123,Cojac_Cojac,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,108,b60444346984dfe9756ebe7c85aa9199ede327a1,no improvement,17,0,0,0,0,0
124,dadiyang_equator,1,0,1,0,0,0,1,0,0,0,0,0,maven,False,open source,89,270b50c8debac54cff49464178cfd9b8d3130f3a,improvement,8,0,0,0,0,0
125,OnlineCodex_OnlineCodex,6,1,160,1,3,0,20,1,91,0,46,0,maven,False,open source,147,f4f389580d542da2849abaa120e6e765461748bc,improvement,8,0,0,0,0,0
99,Gubancs_leaflet4vaadin,5,4,92,85,4,4,21,20,57,51,10,10,maven,False,open source,3027,801156875a88c4ae4bc3e71fce765598aec09bbb,improvement,8,0,0,0,0,0
128,haobinaa_DataStructure-DesignPattern,3,0,5,0,1,0,3,0,1,0,0,0,maven,False,open source,54,adb0d31d95098f46ba11991045dc3cc331b8868e,improvement,8,0,0,2,0,0
129,mojohaus_xml-maven-plugin,5,1,34,5,3,0,16,3,7,2,8,0,maven,False,open source,165,ac1390b8874b9caec63f1d140c26484766276448,improvement,8,0,4,0,0,0
130,Homyakin_ZakupkiParser,6,1,71,1,6,0,35,0,26,1,4,0,maven,False,open source,194,57d6ef55d4eaf94e67e228b3f61d312b1a793a95,improvement,17,0,0,0,0,0
113,numaproj_numaflow-java,2,1,11,7,2,1,6,4,3,2,0,0,maven,False,open source,1729,25fe5e2eb1926c938a15e68ade82f0654bf66c97,improvement,17,0,0,1,0,0
120,Majlanky_couch-slacker,13,5,44,17,6,3,15,6,23,8,0,0,maven,False,open source,1521,4ba20b55ec9e456a12ec949d56f2bfce578c0945,improvement,8,3,4,3,0,0
131,burtcorp_athena-jdbc,2,0,48,0,2,0,26,0,20,0,0,0,maven,False,open source,197,700e3cc447e63605f0877699552c040a28f46587,improvement,8,0,0,0,0,0
